id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
57,"Andrew B. Birge",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/pixels_200/public/pages/images/2017/11/17/abirge1.jpg?itok=1tWtiXdq,NA,NA,NA,NA,NA,"Carleton College",NA,NA,"Columbia University",-0.882,3,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
58,"Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ron_A._Parsons_Jr._Official_Portrait.png/220px-Ron_A._Parsons_Jr._Official_Portrait.png,2018/01/05,NA,NA,,male,"University of Minnesota",NA,NA,"University of South Dakota",0.061,157,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
59,"Aaron L. Weisman","U.S. Attorney for the District of Rhode Island",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aaron_Weisman_RI_2.jpg/220px-Aaron_Weisman_RI_2.jpg,2019/01/14,1965/01/01,55,,male,"Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,Republican,0,0,0,0,1,NA,NA,NA,NA,NA,NA
60,"David C. Joseph","U.S. Attorney for the W.D. of Louisiana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/David_C._Joseph_official_photo.jpg/220px-David_C._Joseph_official_photo.jpg,2018/04/03,1977/05/06,43,Dallas,male,"University of Oklahoma",NA,NA,"Louisiana State University",0.278,102,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
61,"Stephen McAllister","U.S. Attorney for the District of Kansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg,2018/01/25,NA,NA,,male,"University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
62,"Larry Keefe","U.S. Attorney for the N.D. of Florida",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Lawrence_A._Keefe.jpg/220px-Lawrence_A._Keefe.jpg,2019/01/09,1961/12/30,58,"Fort Dix",male,"University of Florida",NA,NA,"University of Florida",-0.214,29,0,Democrat,0,0,1,0,1,NA,NA,NA,NA,NA,NA
63,"Robert K. Hur",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
64,"John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lausch_john_official.jpg/220px-Lausch_john_official.jpg,2017/11/22,1970/01/01,50,Joliet,male,"Harvard University",NA,NA,"Northwestern University",-0.839,8,0,None,0,0,0,1,0,NA,NA,NA,NA,NA,NA
65,"Erica MacDonald","U.S. Attorney for the District of Minnesota",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Erica_H._MacDonald_portrait.jpg/220px-Erica_H._MacDonald_portrait.jpg,2018/06/11,NA,NA,DeSoto,female,"University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
66,"Mark Klassen",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mark_A._Klaassen.jpg/220px-Mark_A._Klaassen.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
67,"Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama",prosecutor,https://upload.wikimedia.org/wikipedia/commons/6/6b/Louis_V._Franklin_official_photo.jpg,2017/09/21,1958/01/01,62,Montgomery,male,"University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
68,"William D. Hyslop","U.S. Attorney for the E.D. of Washington",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hyslop-Official-Photo.jpg/220px-Hyslop-Official-Photo.jpg,2019/07/18,1951/01/01,69,Spokane,male,"Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
69,"Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina",prosecutor,https://pbs.twimg.com/profile_images/1077402119605547008/I6S7lWdM_400x400.jpg,2020/03/30,1978/08/20,42,Charleston,male,"Hampden-Sydney College",NA,NA,"Regent University",0.264,102,NA,Republican,0,0,1,0,0,NA,NA,NA,NA,1,NA
70,"Erin Nealy Cox","U.S. Attorney for the N.D. of Texas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/3/33/Erin_Nealy_Cox_official_photo.jpg,2017/11/17,1970/01/01,50,Pascagoula,female,NA,NA,NA,"University of Texas, Austin",-0.165,15,0,None,0,0,1,0,1,NA,NA,1,NA,NA,NA
71,"Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg,2018/01/05,NA,NA,,male,"Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,0,0,1,1,0,NA,NA,1,NA,NA,NA
72,"Nicholas A. Trutanich","U.S. Attorney for the District of Nevada",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Trutanich_Nicholas.jpg/220px-Trutanich_Nicholas.jpg,2019/01/16,NA,NA,,male,"University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,Democrat,0,0,0,1,0,NA,NA,NA,NA,NA,NA
73,"Sherri Lydon","U.S. Attorney for the District of South Carolina",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sherri_A._Lydon_official_photo.jpg/220px-Sherri_A._Lydon_official_photo.jpg,2018/05/24,1962/02/21,58,"Myrtle Beach Air Force Base",female,"Clemson University",NA,NA,"University of South Carolina",0.171,92,0,None,0,0,1,0,1,NA,NA,NA,NA,NA,NA
74,"Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg,2019/06/05,NA,NA,,male,"University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,1,Republican,0,0,1,1,0,NA,NA,1,NA,NA,NA
75,"R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/R._Trent_Shores_official_photo.jpg/220px-R._Trent_Shores_official_photo.jpg,2017/10/21,NA,NA,,male,"Vanderbilt University",NA,NA,"University of Oklahoma",0.062,77,0,Republican,0,0,1,1,0,NA,NA,1,NA,NA,NA
76,"Richard W. Moore","U.S. Attorney for the S.D. of Alabama",prosecutor,https://upload.wikimedia.org/wikipedia/commons/3/35/Richard_W._Moore_official_portrait.jpg,2017/09/22,1952/01/01,68,Bartow,male,"Spring Hill College",NA,NA,"Cumberland University",0.382,148,0,None,0,0,1,1,0,NA,NA,NA,NA,NA,NA
77,"Grant C. Jaquith","U.S. Attorney for the N.D. of New York",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/GCJaquith.jpg/220px-GCJaquith.jpg,NA,NA,NA,,male,"Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
78,"Michael B. Stuart","U.S. Attorney for the S.D. of West Virginia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Michael_B._Stuart.jpg/220px-Michael_B._Stuart.jpg,2018/01/09,1967/01/06,53,Philippi,male,"West Virginia University",NA,NA,"Boston University",-0.93,19,0,Republican,1,0,0,0,0,NA,NA,NA,NA,NA,NA
79,"Doug Overbey","U.S. Attorney for the E.D. of Tennessee",prosecutor,https://upload.wikimedia.org/wikipedia/commons/4/4e/J._Douglas_Overbey_official_photo.jpg,2017/11/21,1954/12/11,65,,male,"Carson Newman University",NA,NA,"University of Tennessee, Knoxville",-0.267,64,0,Republican,0,0,1,0,0,NA,NA,NA,NA,NA,NA
80,"Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Matt_Krueger_official_photo.jpg/220px-Matt_Krueger_official_photo.jpg,2018/02/23,1978/01/01,42,Milwaukee,male,"University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,Republican,0,0,1,0,1,NA,NA,1,NA,NA,NA
81,"D. Michael Hurst Jr.","U.S. Attorney for the S.D. of Mississippi",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/D._Michael_Hurst_Jr._official_photo.jpg/220px-D._Michael_Hurst_Jr._official_photo.jpg,NA,NA,NA,Hickory,male,"Millsaps College",NA,NA,"George Washington University",-0.841,21,NA,Republican,0,0,1,1,0,NA,NA,NA,NA,NA,NA
82,"Halsey Frank","U.S. Attorney for the District of Maine",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Halsey_Frank_official_photo.png/220px-Halsey_Frank_official_photo.png,2017/10/10,NA,NA,,male,"Wesleyan University",NA,NA,"Boston University",-0.93,19,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
83,"John Durham","U.S. Attorney for the District of Connecticut",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/John_H._Durham.jpg/220px-John_H._Durham.jpg,2018/02/22,1950/01/01,70,Boston,male,"Colgate University",NA,NA,"University of Connecticut",-0.654,64,0,None,0,0,0,1,0,NA,NA,NA,NA,NA,NA
84,"Shawn N. Anderson",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2017/05/26/fullsizerender.jpg?itok=E83BDUx5,NA,NA,NA,NA,NA,"Oregon State University",NA,NA,"Willamette University",-0.571,136,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,"Kurt Alme","U.S. Attorney for the District of Montana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kurt_G._Alme_official_photo.jpg/220px-Kurt_G._Alme_official_photo.jpg,2017/09/21,NA,NA,"Miles City",male,"University of Colorado",NA,NA,"Harvard University",-0.816,1,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
86,"W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/William_Stephen_Muldrow_official_portrait.jpg/220px-William_Stephen_Muldrow_official_portrait.jpg,2019/10/04,1964/06/15,56,,male,"Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
87,"Robert M. Duncan Jr.","U.S. Attorney for the E.D. of Kentucky",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg,2017/11/21,1978/01/01,42,Ashland,male,"Centre College",NA,NA,"University of Kentucky",0.039,92,0,Republcian,0,1,1,0,0,NA,NA,1,NA,NA,NA
88,"Peter Deegan","U.S. Attorney for the N.D. of Iowa",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Peter_E._Deegan_Jr_official_photo.jpg/220px-Peter_E._Deegan_Jr_official_photo.jpg,2017/09/21,1970/01/01,50,"Port Huron",male,"University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,Republican,0,0,1,1,0,NA,NA,NA,NA,NA,NA
89,"Robert Higdon Jr.","U.S. Attorney for the E.D. of North Carolina",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Robert_Higdon_Jr._official_photo.jpg/220px-Robert_Higdon_Jr._official_photo.jpg,2017/10/10,NA,NA,,male,"Wake Forest University",NA,NA,"Wake Forest University",-0.349,36,0,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
90,"G. Zachary Terwilliger","U.S. Attorney for the E.D. of Virginia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg,2018/05/25,1985/01/01,35,"Washington, D.C.",male,"University of Virginia",NA,NA,"William & Mary",-0.414,36,0,NA,0,1,1,0,0,NA,NA,1,NA,NA,NA
91,"Maria Chapa Lopez","U.S. Attorney for the M.D. of Florida",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Maria_Chapa_Lopez_official_photo.jpg/220px-Maria_Chapa_Lopez_official_photo.jpg,2018/01/05,NA,NA,,female,"University of Texas","The Judge Advocate General's Legal Center and School",NA,"South Texas College of Law",-0.08,148,0,Republican,0,0,1,1,0,NA,NA,NA,NA,NA,NA
92,"Marc Krickbaum","U.S. Attorney for the S.D. of Iowa",prosecutor,https://upload.wikimedia.org/wikipedia/commons/c/c2/Marc_Krickbaum_official_photo.jpg,2017/10/02,1979/01/01,41,Waco,male,"University of Iowa",NA,NA,"Harvard University",-0.816,1,0,None,0,0,0,1,0,NA,NA,NA,NA,NA,NA
93,"Thomas Kirsch","U.S. Attorney for the N.D. of Indiana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Thomas_L._Kirsch_II.jpg/220px-Thomas_L._Kirsch_II.jpg,2017/10/10,1974/01/25,46,,male,"Indiana University",NA,NA,"Harvard University",-0.816,1,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
94,"William C. Lamar","U.S. Attorney for the N.D. of Mississippi",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/William_C._Lamar.jpg/220px-William_C._Lamar.jpg,NA,NA,NA,,male,"Millsaps College",NA,NA,"University of Mississippi",0.406,92,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
95,"Steven D. Weinhoeft",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/width_5/public/pages/images/2018/08/23/dsc_0033_0.jpg?itok=vTf_F5A_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
96,"Joshua Minkler","U.S. Attorney for the S.D. of Indiana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/d/db/Josh_Minkler_Official_Photo.jpg,2017/10/10,1963/03/14,57,,male,"Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
97,"David M. DeVillers","U.S. Attorney for the S.D. Ohio",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/US_Attorney_DeVillers.jpg/220px-US_Attorney_DeVillers.jpg,2019/10/28,NA,NA,,male,"State University of New York at Oswego",NA,NA,"Capital University",-0.041,166,1,Republican,0,0,1,1,0,NA,NA,NA,NA,NA,NA
98,"James. P Kennedy",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2018/04/16/jp_usa.jpg?itok=6Ay9lyDB,NA,NA,NA,NA,NA,"Hamilton College",NA,NA,"State University of New York at Buffalo",-0.413,115,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
99,"Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,2018/03/30,1977/01/01,43,Richmond,male,"Furman University",NA,NA,"William & Mary",-0.414,36,0,None,0,1,1,0,0,NA,NA,1,NA,NA,1
100,"Makan Delrahim","Assistant Attorney General for the Antitrust Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Makan_Delrahim_official_photo.jpg/220px-Makan_Delrahim_official_photo.jpg,NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,1,0,1,0,0,NA,NA,1,NA,NA,NA
101,"Jefferson B. Sessions","Attorney General",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Jeff_Sessions%2C_official_portrait.jpg/220px-Jeff_Sessions%2C_official_portrait.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA
102,"Noel Francisco","Principal Deputy Solicitor General",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Noel_Francisco_official_photo.jpg/220px-Noel_Francisco_official_photo.jpg,NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,1,0,1,0,0,NA,NA,1,1,NA,NA
103,"Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Jeffrey_Bossert_Clark_official_photo.jpg/220px-Jeffrey_Bossert_Clark_official_photo.jpg,NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,1,0,1,0,0,NA,NA,1,1,NA,NA
104,"Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Beth_Ann_Williams_official_photo.jpg/220px-Beth_Ann_Williams_official_photo.jpg,NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,1,0,1,0,0,NA,NA,1,1,NA,NA
105,"Rod J. Rosenstein","Deputy Attorney General",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Rod_Rosenstein_official_portrait_2.jpg/220px-Rod_Rosenstein_official_portrait_2.jpg,NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,0,0,1,1,0,NA,NA,1,1,NA,NA
106,"Brian Allen Benczkowski","Assistant Attorney General for the Criminal Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Brian_Benczkowski_official_photo.jpg/220px-Brian_Benczkowski_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA
107,"Rachel L. Brand","Associate Attorney General",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Rachel_Brand_official_photo.jpg/220px-Rachel_Brand_official_photo.jpg,NA,NA,NA,NA,NA,"University of Minnesota - Morris",NA,NA,"Harvard University",-0.816,1,NA,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
108,"Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Eric_S._Dreiband_official_photo.jpg/220px-Eric_S._Dreiband_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,NA
109,"John C. Demers","Assistant Attorney General for the National Security Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/John_Demers_official_photo.png/220px-John_Demers_official_photo.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
110,"Steven A. Engel","Assistant Attorney General for the Office of the Legal Counsel",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Steven_Engel_official_photo.jpg/220px-Steven_Engel_official_photo.jpg,NA,NA,NA,NA,NA,"Harvard University","University of Cambridge",NA,"Yale University",-0.913,1,NA,NA,1,0,1,0,0,NA,NA,1,NA,NA,NA
111,"Joseph H. Hunt","Assistant Attorney General for the Civil Division",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jody_Hunt_official_photo.jpg/220px-Jody_Hunt_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
112,"William P. Barr","Attorney General",justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/William_Barr.jpg/220px-William_Barr.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA
113,"Jeffrey A. Rosen",NA,justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Jeff_Rosen_official_DOJ_portrait.jpg/220px-Jeff_Rosen_official_DOJ_portrait.jpg,NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
114,"Stephen Boyd",NA,justicedept,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Stephen_E._Boyd_official_photo_2.jpg/220px-Stephen_E._Boyd_official_photo_2.jpg,NA,NA,NA,NA,NA,"University of Alabama",NA,NA,"University of Alabama",0.066,24,NA,NA,0,0,0,0,0,NA,NA,1,NA,NA,NA
